Speaker_ID,main_speaker
1169,Ernesto Sirolli
1170,Jonas Eliasson
1171,Janine Shepherd
1172,Munir Virani
1173,Paolo Cardini
1174,Bobby Ghosh
1175,Ludwick Marishane
1176,Jeff Smith
1177,Lemon Andersen
1178,Ellen 't Hoen
1179,Markham Nolan
1180,Marcus Byrne
1181,Molly Crockett
1182,Steven Addis
1183,Adam Davidson
1184,Ronny Edry
1185,Karen Thompson Walker
1186,Hadyn Parry
1187,Don Levy
1188,Sue Austin
1189,Jarrett J. Krosoczka
1190,Boghuma Kabisen Titanji
1191,Andy Puddicombe
1192,Angela Patton
1193,Ellen Jorgensen
1194,Cameron Russell
1195,Richard Weller
1196,Colin Stokes
1197,Janine di Giovanni
1198,Colin Powell
1199,Steven Schwaitzberg
1200,Leslie Morgan Steiner
1201,Wingham Rowan
1202,Mitch Resnick
1203,iO Tillett Wright
1204,Fahad Al-Attiya
1205,Kid President
1206,Zahra' Langhi
1207,Tyler DeWitt
1208,Cesar Kuriyama
1209,Edi Rama
1210,Shabana Basij-Rasikh
1211,Erik Schlangen
1212,James B. Glattfelder
1213,Esther Perel
1214,Young-ha Kim
1215,Miguel Nicolelis
1216,Keith Chen
1217,Afra Raymond
1218,Andreas Schleicher
1219,Michael Dickinson
1220,Bruno Maisonnier
1221,Jennifer Granholm
1222,Amanda Palmer
1223,Allan Savory
1224,Ron Finley
1225,Kakenya Ntaiya
1226,Shane Koyczan
1227,Dan Pallotta
1228,David Anderson
1229,Catarina Mota
1230,Elon Musk
1231,Hyeonseo Lee
1232,Francis Collins
1233,Mark Shaw
1234,Richard Turere
1235,Colin Camerer
1236,Katherine Kuchenbecker
1237,Kees Moeliker
1238,Sanjay Dastoor
1239,Ken Jennings
1240,Freeman Hrabowski
